epoch,iso,raw_dht11
1753722737.324148,2025-07-28T18:12:17.324158,"0.0,0.0"
1753722737.424718,2025-07-28T18:12:17.424728,"0.0,0.0"
1753722737.524902,2025-07-28T18:12:17.524912,"0.0,0.0"
1753722737.6252215,2025-07-28T18:12:17.625231,"0.0,0.0"
1753722737.7254136,2025-07-28T18:12:17.725422,"0.0,0.0"
1753722737.8257883,2025-07-28T18:12:17.825797,"0.0,0.0"
1753722737.925927,2025-07-28T18:12:17.925936,"0.0,0.0"
1753722738.026274,2025-07-28T18:12:18.026284,"0.0,0.0"
1753722738.1264725,2025-07-28T18:12:18.126481,"0.0,0.0"
1753722738.2269201,2025-07-28T18:12:18.226930,"0.0,0.0"
1753722738.326967,2025-07-28T18:12:18.326976,"0.0,0.0"
1753722738.427318,2025-07-28T18:12:18.427328,"0.0,0.0"
1753722738.5276983,2025-07-28T18:12:18.527708,"0.0,0.0"
1753722738.627817,2025-07-28T18:12:18.627826,"0.0,0.0"
1753722738.728169,2025-07-28T18:12:18.728178,"0.0,0.0"
1753722738.8282728,2025-07-28T18:12:18.828282,"0.0,0.0"
1753722738.9288194,2025-07-28T18:12:18.928830,"0.0,0.0"
1753722739.0289145,2025-07-28T18:12:19.028923,"0.0,0.0"
1753722739.1292627,2025-07-28T18:12:19.129272,"0.0,0.0"
1753722739.2294288,2025-07-28T18:12:19.229438,"0.0,0.0"
1753722739.334712,2025-07-28T18:12:19.334721,"0.0,0.0"
1753722739.45013,2025-07-28T18:12:19.450139,"0.0,0.0"
1753722739.5453064,2025-07-28T18:12:19.545314,"0.0,0.0"
1753722739.6454523,2025-07-28T18:12:19.645460,"0.0,0.0"
1753722739.7457187,2025-07-28T18:12:19.745726,"0.0,0.0"
1753722739.846,2025-07-28T18:12:19.846007,"0.0,0.0"
1753722739.946148,2025-07-28T18:12:19.946155,"0.0,0.0"
1753722740.0463176,2025-07-28T18:12:20.046324,"0.0,0.0"
1753722740.1466,2025-07-28T18:12:20.146608,"0.0,0.0"
1753722740.2468219,2025-07-28T18:12:20.246829,"0.0,0.0"
1753722740.3471227,2025-07-28T18:12:20.347130,"0.0,0.0"
1753722740.4473667,2025-07-28T18:12:20.447374,"0.0,0.0"
1753722740.5474534,2025-07-28T18:12:20.547460,"0.0,0.0"
1753722740.647651,2025-07-28T18:12:20.647658,"0.0,0.0"
1753722740.7478485,2025-07-28T18:12:20.747856,"0.0,0.0"
1753722740.8481855,2025-07-28T18:12:20.848192,"0.0,0.0"
1753722740.9482834,2025-07-28T18:12:20.948290,"0.0,0.0"
1753722741.048475,2025-07-28T18:12:21.048483,"0.0,0.0"
1753722741.1486895,2025-07-28T18:12:21.148696,"0.0,0.0"
1753722741.249067,2025-07-28T18:12:21.249074,"0.0,0.0"
1753722741.349371,2025-07-28T18:12:21.349378,"0.0,0.0"
1753722741.4495323,2025-07-28T18:12:21.449540,"0.0,0.0"
1753722741.5497587,2025-07-28T18:12:21.549766,"0.0,0.0"
1753722741.6499624,2025-07-28T18:12:21.649970,"0.0,0.0"
1753722741.7554204,2025-07-28T18:12:21.755428,"0.0,0.0"
1753722741.860682,2025-07-28T18:12:21.860689,"0.0,0.0"
1753722741.960838,2025-07-28T18:12:21.960845,"0.0,0.0"
1753722742.0611134,2025-07-28T18:12:22.061121,"0.0,0.0"
1753722742.1614172,2025-07-28T18:12:22.161424,"0.0,0.0"
1753722742.2614923,2025-07-28T18:12:22.261499,"0.0,0.0"
1753722742.3616521,2025-07-28T18:12:22.361659,"0.0,0.0"
1753722742.4621003,2025-07-28T18:12:22.462107,"0.0,0.0"
1753722742.5622945,2025-07-28T18:12:22.562302,"0.0,0.0"
1753722742.6625862,2025-07-28T18:12:22.662593,"0.0,0.0"
1753722742.7626913,2025-07-28T18:12:22.762698,"0.0,0.0"
1753722742.8629894,2025-07-28T18:12:22.862996,"0.0,0.0"
1753722742.963062,2025-07-28T18:12:22.963069,"0.0,0.0"
1753722743.063188,2025-07-28T18:12:23.063195,"0.0,0.0"
1753722743.163396,2025-07-28T18:12:23.163403,"0.0,0.0"
1753722743.2637036,2025-07-28T18:12:23.263711,"0.0,0.0"
1753722743.3638732,2025-07-28T18:12:23.363880,"0.0,0.0"
1753722743.4641986,2025-07-28T18:12:23.464206,"0.0,0.0"
1753722743.5643997,2025-07-28T18:12:23.564407,"0.0,0.0"
1753722743.6645954,2025-07-28T18:12:23.664603,"0.0,0.0"
1753722743.7648044,2025-07-28T18:12:23.764811,"0.0,0.0"
1753722743.8650188,2025-07-28T18:12:23.865026,"0.0,0.0"
1753722743.965283,2025-07-28T18:12:23.965290,"0.0,0.0"
1753722744.0705862,2025-07-28T18:12:24.070593,"0.0,0.0"
1753722744.1759365,2025-07-28T18:12:24.175944,"0.0,0.0"
1753722744.2811332,2025-07-28T18:12:24.281140,"0.0,0.0"
1753722744.3812506,2025-07-28T18:12:24.381257,"0.0,0.0"
1753722856.8712513,2025-07-28T18:14:16.871263,"0.0,0.0"
1753722856.970702,2025-07-28T18:14:16.970709,"0.0,0.0"
1753722857.077128,2025-07-28T18:14:17.077135,"0.0,0.0"
1753722857.1813335,2025-07-28T18:14:17.181341,"0.0,0.0"
1753722857.2815452,2025-07-28T18:14:17.281553,"0.0,0.0"
1753722857.3817575,2025-07-28T18:14:17.381764,"0.0,0.0"
1753722857.482115,2025-07-28T18:14:17.482124,"0.0,0.0"
1753722857.582466,2025-07-28T18:14:17.582473,"0.0,0.0"
1753722857.682656,2025-07-28T18:14:17.682663,"0.0,0.0"
1753722857.7827213,2025-07-28T18:14:17.782728,"0.0,0.0"
1753722857.8830395,2025-07-28T18:14:17.883047,"0.0,0.0"
1753722857.9832892,2025-07-28T18:14:17.983297,"0.0,0.0"
1753722858.0834997,2025-07-28T18:14:18.083507,"0.0,0.0"
1753722858.1837218,2025-07-28T18:14:18.183729,"0.0,0.0"
1753722858.2839186,2025-07-28T18:14:18.283926,"0.0,0.0"
1753722858.384092,2025-07-28T18:14:18.384099,"0.0,0.0"
1753722858.484276,2025-07-28T18:14:18.484284,"0.0,0.0"
1753722858.5846174,2025-07-28T18:14:18.584624,"0.0,0.0"
1753722858.6849163,2025-07-28T18:14:18.684924,"0.0,0.0"
1753722858.7848043,2025-07-28T18:14:18.784812,"0.0,0.0"
1753722858.8851721,2025-07-28T18:14:18.885180,"0.0,0.0"
1753722858.9853923,2025-07-28T18:14:18.985399,"0.0,0.0"
1753722859.0856252,2025-07-28T18:14:19.085633,"0.0,0.0"
1753722859.1858633,2025-07-28T18:14:19.185870,"0.0,0.0"
1753722859.2860684,2025-07-28T18:14:19.286075,"0.0,0.0"
1753722859.3966136,2025-07-28T18:14:19.396620,"0.0,0.0"
1753722859.4968033,2025-07-28T18:14:19.496810,"0.0,0.0"
1753722859.5992396,2025-07-28T18:14:19.599246,"0.0,0.0"
1753722859.699369,2025-07-28T18:14:19.699377,"0.0,0.0"
1753722859.7996464,2025-07-28T18:14:19.799655,"0.0,0.0"
1753722859.8998952,2025-07-28T18:14:19.899903,"0.0,0.0"
1753722860.0003674,2025-07-28T18:14:20.000375,"0.0,0.0"
1753722860.100332,2025-07-28T18:14:20.100339,"0.0,0.0"
1753722860.2004704,2025-07-28T18:14:20.200478,"0.0,0.0"
1753722860.3006938,2025-07-28T18:14:20.300701,"0.0,0.0"
1753722860.40091,2025-07-28T18:14:20.400917,"0.0,0.0"
1753722860.5011444,2025-07-28T18:14:20.501151,"0.0,0.0"
1753722860.6014004,2025-07-28T18:14:20.601408,"0.0,0.0"
1753722860.7016134,2025-07-28T18:14:20.701620,"0.0,0.0"
1753722860.8018587,2025-07-28T18:14:20.801866,"0.0,0.0"
1753722860.9021468,2025-07-28T18:14:20.902154,"0.0,0.0"
1753722861.0023065,2025-07-28T18:14:21.002314,"0.0,0.0"
1753722861.1028357,2025-07-28T18:14:21.102843,"0.0,0.0"
1753722861.2028615,2025-07-28T18:14:21.202868,"0.0,0.0"
1753722861.303478,2025-07-28T18:14:21.303487,"0.0,0.0"
1753722861.4035258,2025-07-28T18:14:21.403535,"0.0,0.0"
1753722861.5038176,2025-07-28T18:14:21.503827,"0.0,0.0"
1753722861.6041718,2025-07-28T18:14:21.604181,"0.0,0.0"
1753722861.7043958,2025-07-28T18:14:21.704405,"0.0,0.0"
1753724261.8230298,2025-07-28T18:37:41.823038,"0.0,0.0"
1753724262.0194025,2025-07-28T18:37:42.019407,"0.0,0.0"
1753724262.028792,2025-07-28T18:37:42.028800,"0.0,0.0"
1753724262.1339693,2025-07-28T18:37:42.133976,"0.0,0.0"
1753724262.234188,2025-07-28T18:37:42.234197,"0.0,0.0"
1753724262.3344991,2025-07-28T18:37:42.334507,"0.0,0.0"
1753724262.4349144,2025-07-28T18:37:42.434922,"0.0,0.0"
1753724262.5352645,2025-07-28T18:37:42.535273,"0.0,0.0"
1753724262.6352909,2025-07-28T18:37:42.635298,"0.0,0.0"
1753724262.7378414,2025-07-28T18:37:42.737851,"0.0,0.0"
1753724262.837967,2025-07-28T18:37:42.837974,"0.0,0.0"
1753724262.938088,2025-07-28T18:37:42.938095,"0.0,0.0"
1753724263.038416,2025-07-28T18:37:43.038423,"0.0,0.0"
1753724263.1385844,2025-07-28T18:37:43.138591,"0.0,0.0"
1753724263.2391331,2025-07-28T18:37:43.239141,"0.0,0.0"
1753724263.3390906,2025-07-28T18:37:43.339097,"0.0,0.0"
1753724263.4392967,2025-07-28T18:37:43.439304,"0.0,0.0"
1753724263.5395408,2025-07-28T18:37:43.539548,"0.0,0.0"
1753724263.6397948,2025-07-28T18:37:43.639802,"0.0,0.0"
1753724263.7400773,2025-07-28T18:37:43.740084,"0.0,0.0"
1753724263.8403192,2025-07-28T18:37:43.840326,"0.0,0.0"
1753724263.9404547,2025-07-28T18:37:43.940462,"0.0,0.0"
1753724264.0407798,2025-07-28T18:37:44.040786,"0.0,0.0"
1753724264.1409938,2025-07-28T18:37:44.141001,"0.0,0.0"
1753724264.24126,2025-07-28T18:37:44.241267,"0.0,0.0"
