[2025-08-13 07:56:52.632] [INFO] Cameraapp main function started
[2025-08-13 07:56:52.704] [INFO] Initializing cameraapp
[2025-08-13 07:57:03.738] [INFO] Cameraapp initialization complete
[2025-08-13 07:57:03.964] [INFO] HK transmission thread started
[2025-08-13 07:58:32.726] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:32.728] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:33.423] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:33.730] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:33.731] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:34.425] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:34.732] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:34.732] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:35.426] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:35.733] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:35.735] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:36.427] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:36.737] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:36.738] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:37.429] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:37.740] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:37.740] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:38.430] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:38.742] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:38.743] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:39.431] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:39.744] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:39.745] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:40.433] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:40.746] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:40.747] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:41.434] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:41.748] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:41.749] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:42.435] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:42.750] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:42.751] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:43.437] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:43.753] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:43.754] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:44.438] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:44.756] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:44.757] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:45.440] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:45.759] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:45.761] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:46.441] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:46.763] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:46.764] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:47.442] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:47.765] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:47.765] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:48.443] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:48.767] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:48.768] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:49.444] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:49.769] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:49.770] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:50.446] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:50.772] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:50.773] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:51.447] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:51.774] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:51.775] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:52.448] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:52.777] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:52.779] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:53.450] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:53.780] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:53.781] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:54.451] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:54.782] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:54.784] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:55.452] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:55.785] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:55.786] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:56.453] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:56.787] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:56.790] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:57.455] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:57.791] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:57.792] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:58.456] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:58.793] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:58.794] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:59.457] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:59.796] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:59.797] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:59:00.459] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:59:00.798] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:59:00.799] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:59:01.460] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:59:01.801] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:59:01.802] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:59:02.461] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:59:02.803] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:59:02.804] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:59:03.462] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:59:03.805] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:59:03.806] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:59:04.464] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:59:04.809] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:59:04.810] [MSG_SENT] Message 2703 sent to FlightLogicApp
